English,Hindi,length_eng_sentence,length_hin_sentence
prasadkavya me vimbyojana google book,START_ writer ramrishna aggarwal _END,5,5
the answer is probably no,START_ शायद नहीं है। _END,5,5
is that the chinese government,START_ कि चीनी सरकार _END,5,5
and for the first time,START_ और पहली बार _END,5,5
the rule of islam in,START_ में इस्लामी सम्राज्य। _END,5,5
look very closely at pilgrimage,START_ ध्यान से देखिये _END,5,5
life story of amitabh bachchan,START_ अमिताभ बच्चन जीवनि _END,5,5
at the university of maryland,START_ मैरीलैंड विश्वविद्यालय में _END,5,5
hh thank you very much,START_ परमपावन करमापा धन्यवाद _END,5,5
in a world like that,START_ ऐसी दुनिया में _END,5,5
during the days in jail,START_ जेल के दिन _END,5,5
seem to be beautifully suited,START_ बहुत उपयुक्त हैं _END,5,5
category united states of america,START_ श्रेणीसंयुक्त राज्य अमेरिका _END,5,5
that has to be done,START_ होना ही चाहिए _END,5,5
one single measure of spirits,START_ स्पिरिट एक मात्रा _END,5,5
but at the same time,START_ मगर उसी वक्त _END,5,5
specialities of stream of krishnapoetry,START_ कृष्णकाव्यधारा की विशेषताएँ _END,5,5
truth full of taj mahal,START_ ताजमहल की सच्चाई _END,5,5
and there is no notion,START_ मैं अब तक _END,5,5
told the book of allah,START_ फरमायाअल्लाह की पुस्तक _END,5,5
both from a financial perspective,START_ वित्तीय दृष्टिकोण से _END,5,5
into a million little things,START_ दस लाख में _END,5,5
than a spotlight of consciousness,START_ बजाय स्पाटलाइट के। _END,5,5
so the th century then,START_ अतः वीं सदी _END,5,5
had come into newcastle university,START_ न्यूकैसल विश्वविद्यालय में _END,5,5
of the basic time duration,START_ मूल अवधि के _END,5,5
ladies are to be revered,START_ स्त्री आदरणीय है _END,5,5
class prior to portuguese colony,START_ श्रेणीपूर्व पुर्तगाली कालोनी _END,5,5
hold on wait a minute,START_ एक मिनट रुकिए _END,5,5
the mosque of taj majhal,START_ ताजमहल की मस्जिद _END,5,5
how long are you staying”,START_ “कितने दिन रुकेंगी” _END,5,5
premchand and key to hindi,START_ प्रेमचंद हिंदीकुंज में _END,5,5
the result was a stalemate,START_ परिणाम हुआ गतिरोध _END,5,5
the statistics of the language,START_ भाषा के आंकड़े _END,5,5
sanmukham chetty lrb january rrb,START_ शनमुखम चेट्टी जनवरी _END,5,5
class languages of the world,START_ श्रेणीविश्व की भाषाएँ _END,5,5
so we have three steps,START_ इसके चरण है _END,5,5
i took it very literally,START_ जैसा मैंने कहा _END,5,5
muktbodh ultimate knowledge digital library,START_ मुक्तबोध डिजिटल पुस्तकालय _END,5,5
now at the same time,START_ और ठीक वहीं _END,5,5
began many many years ago,START_ बहुत वर्षों पहले _END,5,5
“dont be an entrepreneurial type,START_ “उद्यमी मत बनो _END,5,5
in a very real way,START_ हमें पालती हैं। _END,5,5
take a look at these,START_ इन्हें भी देखें _END,5,5
come to empathize with you,START_ आपसे सहानुभूति दिखायेंगे _END,5,5
adult cohort in us history,START_ वयस्क पीढ़ी हैं। _END,5,5
countless lives have been saved,START_ अनगिनत जानों को _END,5,5
with the exception of anger,START_ सिवाय गुस्से के _END,5,5
what would it look like,START_ यह कैसा दिखेगा _END,5,5
is just an artful demonstration,START_ निपुणता की एक _END,5,5
the very very first day,START_ पहले दिन ही _END,5,5
with kids that are dyslexic,START_ जैसे डिसलिक्सिक बच्चे _END,5,5
came to the start line,START_ ने हिस्सा लिया _END,5,5
you eat the socalled teflon,START_ तो आप टेफ़्लान _END,5,5
gita rahasya bala gangadhar tilak,START_ गीतारहस्य बालगंगाधर तिलक _END,5,5
and say we cannot afford,START_ और यह कहने _END,5,5
from out of desalination brine,START_ डीसलिनाशन नमकीन से _END,5,5
and my father thats him,START_ और मेरे पिता _END,5,5
by v shankar aiyar february,START_ शंकर अय्यर फरवरी _END,5,5
how much majority you want,START_ कितना बहुमत चाहिए _END,5,5
have this edge to compete,START_ प्रतियोगी बढ़त है _END,5,5
by events such as this,START_ ऐसी घटनाओ से _END,5,5
they would shout things like,START_ ऐसी चीज़े केहते _END,5,5
millions and millions of dollars,START_ दसियों लाख डॉलर _END,5,5
you have the right to,START_ आपको अधिकार हैभाष् _END,5,5
was the pity and disbelief,START_ दया और अविश्वास _END,5,5
that seems to be connected,START_ इसे जोडता है _END,5,5
of some kind of connection,START_ एक विशेष बन्धन _END,5,5
it has six characteristic features,START_ इसकी विशेषताएँ है _END,5,5
these are the two pictures,START_ ये दो तस्वीरें _END,5,5
and i was given medications,START_ मेरा निरिक्षण किया _END,5,5
and most of the trees,START_ और ज्यादातर पेड़ो _END,5,5
life with full of dissensions,START_ मतभेद भरा जीवन _END,5,5
clothed in this nylon bag,START_ नायलॉन बैग पहने _END,5,5
this is a permanent magnet,START_ ये है चुंबक। _END,5,5
going up in the air,START_ हवा के साथ _END,5,5
no websites for the campaigns,START_ कोई वेब्साइट नहीं _END,5,5
imagine if you actually took,START_ सोचिये यदि आप _END,5,5
well see that right there,START_ हम वहाँ देखेंगे _END,5,5
office of public relations gwalior,START_ जनसम्पर्क कार्यालय ग्वालियर _END,5,5
there are some wonderful wonderful,START_ कुछ बढ़िया बढ़िया _END,5,5
the arabic has an incantatory,START_ अरबी उच्चारणों में _END,5,5
mutazila sect lrb p rrb,START_ मोतजिला संप्रदाय पृ _END,5,5
sidedish made of mustard oil,START_ सरसों का साग _END,5,5
to balance work and life,START_ काफी सरल था _END,5,5
the left today can destroy,START_ it cannot build _END,5,5
take a look at this,START_ जरा इसे देखिये _END,5,5
class the padma bhushan of,START_ श्रेणी पद्म भूषण _END,5,5
step outside of your shoes,START_ आपनि जगह छोड़े _END,5,5
mobile is a marketing dusk,START_ मोबाइल विपणन संघ _END,5,5
gita rahasya bal gangadhar tilak,START_ गीतारहस्य बालगंगाधर तिलक _END,5,5
whose son shall it be,START_ किसका बेटा जाएगा _END,5,5
who will get the help,START_ सहायता किसे मिलेगी _END,5,5
to get over the management,START_ निर्वाण प्राप्त करना _END,5,5
works of a prime minister,START_ प्रधानमन्त्री के कार्य _END,5,5
video boy how about this,START_ बच्चा ऐसे करूँ _END,5,5
wanted to wear a veil,START_ पर्दा पहनने की _END,5,5
two thirds of the value,START_ दो तिहाई मूल्य _END,5,5
in terms of economic takeoff,START_ आर्थिक विकास में _END,5,5
it will always be easier,START_ चीजों को तोडना _END,5,5
we have hear this week,START_ इस सप्ताह हमने _END,5,5
a lot of different responsibilities,START_ उत्तरदायित्व दिए गए _END,5,5
paint your picture of what,START_ ज़रा चित्रित कीजिए _END,5,5
solar radiation in domestic places,START_ घरेलू सौर प्रणाली _END,5,5
kids in the th grade,START_ बारहवीं के बच्चे _END,5,5
entrance gate of taj mahal,START_ ताजमहल का द्वार _END,5,5
that means theres no waiting,START_ इसका मतलब यह _END,5,5
and became even further removed,START_ और अपने मातापिता _END,5,5
why is that the case,START_ ऐसा क्यों है _END,5,5
the heat of solar wind,START_ सौर वायु उष्मन _END,5,5
note these too also see,START_ इन्हें भी देखें _END,5,5
the problems of domain names,START_ डोमेन नाम समस्या _END,5,5
topic prime minister of india,START_ श्रेणीभारत के प्रधानमंत्री _END,5,5
and it was very obvious,START_ यह सुस्पष्ट था _END,5,5
let us examine this also,START_ यह भी देखें _END,5,5
the engineers the civil servants,START_ इंजिनियर प्रशासनिक सेवक _END,5,5
every day in the morning,START_ हर दिन सुबह _END,5,5
the hard thing is this,START_ अब कठिन काम _END,5,5
saint kabir in hindi dictionary,START_ संत कबीरहिंदीकुंज में _END,5,5
the divisions of the vedas,START_ वेदों का विभाजन _END,5,5
sanskrit thematic piece of literature,START_ संस्कृत विषयक लेख _END,5,5
ram as seen by kabir,START_ कबीर के राम _END,5,5
life story of amitabh bachchan,START_ अमिताभ बच्चन जीवनि _END,5,5
we find more and more,START_ हम और ज्यादा _END,5,5
first of all worse nutrition,START_ सर्वप्रथम खराब पोषण _END,5,5
ravindranath tagore in hindi kunj,START_ रवीन्द्रनाथ ठाकुरहिंदीकुंज में _END,5,5
series prime ministers of india,START_ श्रेणीभारत के प्रधानमंत्री _END,5,5
so this is a machine,START_ तो यह मशीन _END,5,5
class high profile commercial district,START_ श्रेणीउच्चप्रौद्योगिकी व्यापार जिले _END,5,5
a guide who above all,START_ एक गाइड जो _END,5,5
for us as human beings,START_ बल्कि हमारी मूलभूत _END,5,5
when our home minister announces,START_ हमारे गृहमंत्री ने _END,5,5
pen labor premchand google books,START_ author mohan gopal _END,5,5
members of the lok sabah,START_ लोकसभा के पदाधिकारी _END,5,5
so in my day job,START_ दैिनक कार्य में _END,5,5
category prime ministers on india,START_ श्रेणीभारत के प्रधानमंत्री _END,5,5
series honured by nobel price,START_ श्रेणीनोबेल पुरस्कार सम्मानित _END,5,5
but it was really brutal,START_ मगर था क्रूर _END,5,5
noverattana nine diamonds of akbar,START_ अकबर के नवरत्न _END,5,5
all around the united states,START_ पूरे अमरीका में। _END,5,5
saint kabir in hindi bower,START_ संत कबीरहिंदीकुंज में _END,5,5
office of civil communication gwalior,START_ जनसम्पर्क कार्यालय ग्वालियर _END,5,5
because in the real world,START_ क्यूंकि दुनिया में _END,5,5
isnt a step at all,START_ कदम नहीं है _END,5,5
abualfath albusti lrb p rrb,START_ अबुलफतऋऊण्श्छ्ष्ह अलबुसऋऊण्श्छ्ष्ती ह्यपृहृ _END,5,5
but what we are doing,START_ पर हम यहाँ _END,5,5
will make all the difference,START_ सारा बदलाव लाएगा _END,5,5
series poets of devotional times,START_ श्रेणीभक्तिकाल के कवि _END,5,5
tattoo was at one time,START_ एक समय टेटू _END,5,5
category poet of bhakti period,START_ श्रेणीभक्तिकाल के कवि _END,5,5
grade bharat is a country,START_ श्रेणीभारत के राज्य _END,5,5
the heaven way to pandavas,START_ पाण्डवों का स्वर्गगमन _END,5,5
pravas ki dairy travel diary,START_ प्रवास की डायरी _END,5,5
they were all poor people,START_ सब गरीब थे _END,5,5
so the idea was there,START_ उद्देश्य यही था _END,5,5
have very very different textures,START_ काफी अलग बनावट _END,5,5
the truth of taj mahal,START_ ताजमहल की सच्चाई _END,5,5
khayam ki madhushala khayams bar,START_ खय्याम की मधुशाला _END,5,5
to drop out of school,START_ ज्यादा रहती है _END,5,5
relation of central and state,START_ केन्द्र राज्य संबंध _END,5,5
a camel and a cart,START_ ऊँट और ऊँटगाड़ी। _END,5,5
depending on imagination have belief,START_ कल्पनाआधारित विश्वास मानना _END,5,5
it is the g summit,START_ जी शिखर सम्मेलन _END,5,5
the temple of taj mahal,START_ ताजमहल की मस्जिद _END,5,5
then more importance will awake,START_ फिर महाभाव जगेगा। _END,5,5
dictionary com english hindi online,START_ शब्दकोशकॉम अंग्रेजीहिन्दी ऑनलाइन _END,5,5
how did that come about,START_ वो कैसे हुआ _END,5,5
reading and writing and kinesthetic,START_ पढनालिखना और गतिसौंदर्यबोध। _END,5,5
section prime minister of india,START_ श्रेणीभारत के प्रधानमंत्री _END,5,5
between the leaders of russia,START_ रूस के नेताओं _END,5,5
spaek men news views poartle,START_ प्रवक्ता समाचारविचार पोर्टल _END,5,5
dainik swatantra mat independent daily,START_ दैनिक स्वतंत्र मत _END,5,5
take these tests every year,START_ साल दर साल। _END,5,5
so get in the game,START_ save the shoes _END,5,5
and the key to this,START_ और इसकी कुंजी _END,5,5
and at the same time,START_ ठीक उसी समय _END,5,5
is very good to follow,START_ मानने लायक है _END,5,5
so as we are facing,START_ आज जहाँ हम _END,5,5
the uv and the xrays,START_ uv या xकिरणे _END,5,5
series languages of the world,START_ श्रेणीविश्व की भाषाएँ _END,5,5
that all these tape drives,START_ सरे टेप ड्राइव _END,5,5
this is to come down,START_ यह भी देखें _END,5,5
was killed and run over,START_ मर जाता था _END,5,5
that i just was filled,START_ मैं भर गयी _END,5,5
class prime ministers of india,START_ श्रेणीभारत के प्रधानमंत्री _END,5,5
its the friends the allies,START_ दोस्त और सहयोगी _END,5,5
honour the president of india,START_ श्रेणीभारत के राष्ट्रपति _END,5,5
he was of course foremost,START_ सबसे पहले वो _END,5,5
the rhythmic cadence of it,START_ उसकी लयबद्ध मूर्च्छना _END,5,5
official of the lok sabha,START_ लोकसभा के पदाधिकारी _END,5,5
because they didnt start until,START_ क्योंकि सन तक _END,5,5
series poets of devotional era,START_ श्रेणीभक्तिकाल के कवि _END,5,5
sachidanand sinha lrb february rrb,START_ सचिदानन्द सिन्हा फरवरी _END,5,5
and figured out a way,START_ और रास्ता निकाला _END,5,5
these are the future anthropometrics,START_ भविष्य के मानवमात्रिक। _END,5,5
on the opportunity and platform,START_ इसके द्वारा मिले _END,5,5
to be able to communicate,START_ हम बातचीते करें _END,5,5
and mathematics and so forth,START_ और गणित वगरह _END,5,5
the role of the court,START_ अदालत की भूमिका _END,5,5
had a load of ham,START_ बहुत हैम है _END,5,5
the first one is silence,START_ सबसे पहला ख़ामोशी _END,5,5
end up solving more puzzles,START_ ज्यादा पहेलियाँ सुलझाएंगे _END,5,5
the head of the parliament,START_ ससद का नेता _END,5,5
what are they to do,START_ वह क़्या करें _END,5,5
one of the saddest things,START_ सबसे दुखद बात _END,5,5
and the goal at first,START_ शुरुआत में लक्ष्य _END,5,5
and on the other side,START_ और दूसरी तरफ _END,5,5
entry from back sex related,START_ पीछे से प्रवेश _END,5,5
wordings of bhagwat geeta book,START_ गीता पर भाष्य _END,5,5
is that you the passengers,START_ कि आप यात्री _END,5,5
of saving your childs life,START_ उत्तम उपाय है _END,5,5
prabhat news epaper morning enewspaper,START_ प्रभात खबर इपेपर _END,5,5
bibi ka makbara bibis tomb,START_ बीबी का मकबरा _END,5,5
and im like “you know,START_ मैंने कहा “मतलब _END,5,5
uploading a video on youtube,START_ यूट्यूबपर वीडियो अपलोड _END,5,5
doing a face right here”,START_ ठीक यहाँ पर” _END,5,5
from the rat or mouse,START_ और दिशा में _END,5,5
so many different novels here,START_ बहुत सारे उपन्यास _END,5,5
fifth th phase on thapril,START_ पांचवा चरण अप्रेल _END,5,5
and square feet of paper,START_ और वर्गफुट कागज़ _END,5,5
interior of the taj mahal,START_ ताजमहल का अंतस _END,5,5
