English,Hindi,len_eng_words,len_hin_words
<start> and we talk about <end>,<start> और हम बात करत ह इस बार म <end>,4,8
<start> this is free wifi . <end>,<start> य फरी वाईफाई ह . <end>,4,4
<start> you don t know that . <end>,<start> आप य नही जानत <end>,4,4
<start> even if computers fail . <end>,<start> भल ही कपयटर असफल हो जाए . <end>,4,6
<start> sometime in the s . <end>,<start> सन  क साल म <end>,4,5
<start> then everything becomes meaningful . <end>,<start> तब सब कछ सारथक हो जाता ह . <end>,4,7
<start> and civil society leaders <end>,<start> और सामजिक नताओ म लगाय <end>,4,5
<start> coming down percent <end>,<start>  नीच आ रह ह <end>,4,5
<start> category south jamboodweep <end>,<start> शरणीदकषिण जबदवीप <end>,4,2
"<start> lots of telemedicine consultations , <end>","<start> कई बार दरसचार क माधयम स भी इलाज करत ह , <end>",4,10
<start> it doesn t need it . <end>,<start> इस इसकी जररत नही ह . <end>,4,5
<start> mr . kabir knowledge temple <end>,<start> शरी कबीर जञान मदिर <end>,4,4
<start> from to . <end>,<start>  स  क बीच म . <end>,4,6
<start> it will upset you . <end>,<start> तम बिना बात परशान हो जाओगी . <end>,4,6
<start> or is it ? <end>,<start> या फिर ऐसा होता ह  ? <end>,4,6
"<start> because it was necessary , <end>","<start> कयकि य जररी था , <end>",4,4
<start> and knocks it down . <end>,<start> और उस हिला दिया। <end>,4,4
<start> study of kurran <end>,<start> करान का अधययन <end>,4,5
<start> electricity do that work . <end>,<start> बिजली को वही काम करत हए | <end>,4,7
<start> his name was fide . <end>,<start> उसका नाम फीड था . <end>,4,4
<start> category space travel <end>,<start> शरणीअतरिकष यातरी <end>,4,2
<start> sant ravidas nagar district <end>,<start> सत रविदास नगर जिला <end>,4,4
<start> so you ve effectively negated <end>,<start> तो आप न नकार दिए ह <end>,4,6
<start> on your daily commute ? <end>,<start> समय बरबाद करत ह  ? <end>,4,5
<start> i can remember speaking <end>,<start> म याद कर सकता ह मरी बातचीत <end>,4,7
"<start> rural kansas school district , <end>","<start> गरामीण कानसास क विदयालय म , <end>",4,5
"<start> and finally , an acronym . <end>","<start> और अत म ,  एक सकषित शबद | <end>",4,7
"<start> higher the local fit , <end>","<start> जितना ही सथानीय जडाव होगा , <end>",4,5
<start> best available control technology <end>,<start> सरवशरषठ उपलबध नियतरण परौदयोगिकी <end>,4,8
<start> another human being s mind . <end>,<start> इसान की तो बात ही छोड दो  . <end>,4,8
<start> nehru political career <end>,<start> नहर राजनतिक जीवनचितर <end>,4,4
"<start> i m macho , i m strong . <end>",<start> म मजबत ह <end>,4,3
<start> art is our weapon . <end>,<start> कला हमारा हथियार ह। <end>,4,4
<start> what makes ayahuasca fascinating <end>,<start> आपको आयाहअसका मातर उसक सघटक कषमता <end>,4,6
<start> the government released him <end>,<start> इसलिए सरकार न उनह रिहा कर दिया। <end>,4,7
<start> to their natural conclusion ? <end>,<start> उस उसक सही निषकरश तक कस ल जाय ? <end>,4,8
"<start> she could not prostitute , <end>","<start> वह वशयावति नही कर सकती थी , <end>",4,6
<start> here s the key question . <end>,<start> यही मखय सवाल ह। <end>,4,4
<start> fax <end>,<start> फकस ः               . <end>,4,5
<start> with newly sober eyes . <end>,<start> नयी दषटि स दख . <end>,4,4
"<start> either for large farms , <end>","<start> बड खतो को मिल रही थी , <end>",4,6
<start> called women without men . <end>,<start> जिसका शीरषक ह  आदमियो बगर औरत <end>,4,6
<start> people started contributing ideas . <end>,<start> लोगो न विचारो का योगदान परारभ कर दिया | <end>,4,9
<start> and how they converge . <end>,<start> और कस मिल जात ह <end>,4,5
<start> the function of government <end>,"<start> सरकारी कारयानवयन ,  कारयशली <end>",4,3
<start> analysis computing power <end>,<start> विशलषण  परिकलन कषमत <end>,4,4
<start> short story of mahabharata <end>,<start> महाभारत की सकषिपत कथा <end>,4,4
"<start> because , the thing is , <end>","<start> कयोकि ,  मददा य ह , <end>",4,4
"<start> asking for your support , <end>","<start> आपका सहयोग मागन क लिए , <end>",4,5
<start> to get actionable information . <end>,<start> होन की भी जररत नही। <end>,4,5
<start> finally migara agreed . <end>,<start> आखिरकार मिगर को मानना ही पडा  . <end>,4,7
"<start> the reverend thomas bayes , <end>","<start> रवरड थोमस बयस , <end>",4,3
<start> kirit kalash <end>,<start> किरीट कलश <end>,4,2
<start> we brought together cartoonists <end>,<start> हमन कारटनिसटो को <end>,4,3
<start> with one last application . <end>,<start> एक आखरी परयोग क साथ| <end>,4,5
<start> thank god for them . <end>,<start> भगवान भला कर उनका . <end>,4,4
"<start> the last three decades , <end>",<start> पिछल तीन दशको म <end>,4,4
<start> loss of appetite . <end>,<start> भख न लगना  . <end>,4,4
<start> about their economic growth <end>,"<start> उनक विकास क बार म , <end>",4,5
<start> which means sidewalk gallery . <end>,<start> जिसका मतलब ह फटपाथ की परदरशनी . <end>,4,6
<start> can be a burden <end>,<start> एक बोझ बन सकती ह <end>,4,5
<start> maybe shorter life spans . <end>,<start> लघ आय <end>,4,2
"<start> but even more interestingly , <end>","<start> लकिन इसस भी अधिक दिलचसप ह , <end>",4,6
<start> and become homo sapiens . <end>,<start> और होमोसपिएनस बनान म। <end>,4,4
"<start> hindu temple , sri lanka . <end>",<start> हिद मदिर शरी लका <end>,4,4
"<start> of algorithms in conflict , <end>","<start> एलगोरिदम क सघरष का , <end>",4,4
"<start> but actually , this detector <end>","<start> मगर असल म ,  य डिटकटर <end>",4,5
<start> to disseminate the pollen . <end>,<start> पषपरण का परसार करन क लिए . <end>,4,6
"<start> and slowly over time , <end>","<start> समय बीततबीतत , <end>",4,2
<start> you know the story . <end>,<start> बाकी किससा तो आप जानत ही ह . <end>,4,7
<start> of the cultural revolution . <end>,<start> जस कि सासकतिक कराति। <end>,4,4
<start> ram katha s foreign trip <end>,<start> राम कथा की विदशयातरा <end>,4,4
<start> i saved his life . <end>,<start> मन उसकी जान बचाई <end>,4,5
<start> for the promise media sector . <end>,<start> क बार म कससाम सदरोत मीडिया सटर <end>,4,7
<start> and we request them . <end>,<start> हम उनस निवदन कर सकत ह। <end>,4,6
<start> you cannot command compassion <end>,<start> तम सवदना को आदश नही द सकत <end>,4,7
<start> cricket wasn t always this <end>,<start> करिकट हमशा ऐसा नही था <end>,4,5
<start> how they did it . <end>,<start> उनहोन य कस किया <end>,4,4
<start> it s not that simple . <end>,<start> यह सरल भी नही ह <end>,4,5
<start> in saving her home . <end>,<start> मालकिन का खत आया | <end>,4,5
<start> that s basically the difference . <end>,<start> इन दोनो क बीच म यही मल भिननता ह | <end>,4,10
<start> these extraordinarily gifted children ? <end>,<start> य असाधारण परतिभाशाली बचच ह ? <end>,4,5
"<start> pockets of liquid water , <end>",<start> दरव पानी क पॉकटस स ही नही निकलत <end>,4,8
<start> or the cognitive dissonance . <end>,"<start> एक साथ रख रह ह , <end>",4,5
<start> ready to be mined . <end>,<start> यह बताया गया ह कि परवत तो पतथरो का ढर होता ह और उसम खान खोदी जाती ह । <end>,4,19
<start> category history of india <end>,<start> शरणीभारत का इतिहास <end>,4,3
<start> communicating with the public <end>,<start> जनता क साथ सचना का आदानपरदान <end>,4,6
<start> we re all becoming fat . <end>,<start> हम सब मोट होत जा रह ह . <end>,4,7
<start> and it happened twice . <end>,<start> और ऐसा दो बार हआ <end>,4,5
<start> there s always two sides . <end>,<start> तो उस म हमशा दो पकष निहित होत ह। <end>,4,9
<start> loudspeakers in the street <end>,<start> सडक पर लाउडसपीकर  . <end>,4,4
<start> like a little kid . <end>,<start> एक छोट स बचच की तरह रो रहा था। <end>,4,9
<start> everyone s watching preity zinta . <end>,<start> सभी परीति जिटा कि ओर दख रह ह  . <end>,4,9
<start> which want to remember <end>,<start> कया भल कया याद कर <end>,4,6
<start> in the ground <end>,"<start> जमीन म गाड चका था , <end>",4,5
<start> healthy buildings for us . <end>,<start> सवसथ इमारतो का निरमाण होगा | <end>,4,6
<start> we re all one family . <end>,<start> हम सब एक परिवार ह। <end>,4,5
<start> how to get help <end>,<start> सहायता कस परापत कर <end>,4,4
<start> and preserve my art . <end>,<start> बना और सरकषित रख सकती ह <end>,4,6
"<start> from a societal standpoint , <end>","<start> सामाजिक दषटिकोण स काम कर रह ह , <end>",4,7
<start> how sexy is that ? <end>,<start> यह कितना कामोततजक ह  ? <end>,4,5
<start> thank you very much . <end>,<start> धनयवाद। <end>,4,1
<start> oh may be not . <end>,<start> शायद नही ह। <end>,4,3
"<start> reading textbooks is stressful , <end>","<start> पाठय पसतक पढना तनावपरण ह , <end>",4,5
<start> early four works <end>,<start> परारमभिक चार अवसथाए <end>,4,3
<start> this is a flower <end>,<start> यह एक फल ह <end>,4,4
<start> he was a philosopher <end>,<start>  <end>,4,1
<start> it is not learning . <end>,<start> कि य सीखन की परकरिया नही ह। <end>,4,7
<start> closeness to hindu religion . <end>,<start> हिद धरम स लगाव <end>,4,4
<start> but the main concern <end>,<start> लकिन मखय चिता <end>,4,3
<start> went to this village . <end>,<start> एक गाव म पहच। <end>,4,4
<start> with my first child <end>,"<start> मरा पहला बचचा हआ , <end>",4,4
<start> but it is invisible . <end>,<start> लकिन वह अदशय ह। <end>,4,4
<start>  <end>,<start>  <end>,4,5
<start> and national forests <end>,<start> और राषटरीय वनो म  <end>,4,5
<start> shariyat and islamic jurisprudence <end>,<start> शरियत और इसलामी नयायशासतर <end>,4,4
<start> they won t be ridiculed . <end>,<start> वो खिलली उडाया जाना भी नही चाहग . <end>,4,7
<start> won t you do better ? <end>,<start> तो तम बहतर करोग न ? <end>,4,5
<start> but ends differently <end>,<start> पर अत अलग होना चाहिए  <end>,4,6
<start> . meaning of top courts <end>,<start> अभिलख नयायालय का अरथ <end>,4,4
<start> class geography of bihar <end>,<start> शरणीबिहार का भगोल <end>,4,3
"<start> and to be balanced , <end>",<start> और समनवयित होन क लिए <end>,4,5
<start> these are old hand farmers <end>,<start> य परान किसान ह <end>,4,4
"<start> things that people think , <end>",<start> चीज ह जो लोगो को लगता ह <end>,4,7
<start> list of worship poets . <end>,<start> भकत कवियो की सची <end>,4,4
<start> structure of the council <end>,<start> परिषद का गठन <end>,4,3
"<start> it s the surrounding community , <end>","<start> आसपास का समाज , <end>",4,3
<start> solar photo electric program . <end>,<start> सौर फोटो वोलटायिक कारयकरम <end>,4,4
<start> israel s world terrorism desk <end>,<start> इजराइल वशविक आतकवाद डसक <end>,4,4
<start> that basically matches reality . <end>,<start> जो सचचाई क साथ बिलकल सही बठता ह | <end>,4,9
<start> on a sunday night . <end>,<start> उसस फोन पर      बज बात की . <end>,4,7
<start> or where they were . <end>,<start> या कही स भी हो . <end>,4,5
<start> but the trouble is <end>,<start> किनत समसया यह कि <end>,4,4
<start> tajmahal s value and architecture . <end>,<start> ताजमहल का मल एव वासतकला <end>,4,5
<start> they are the curator . <end>,<start> वही असली सरकषक होत ह . <end>,4,5
<start> what is septicaemia ? <end>,<start> सपटिसीमिया कया ह  ? <end>,4,4
<start> instant currency of silver <end>,<start> ततकालीन चादी की मदरा <end>,4,4
<start> if you had been <end>,<start> अगर आप <end>,4,2
<start> with better child survival . <end>,<start> बचचो क जीन की बहतर सभावना क साथ। <end>,4,8
<start> . pota act . <end>,<start> . पोटा एकट <end>,4,3
<start> category bharath bharathi <end>,<start> शरणीभारत भारती <end>,4,2
<start> crime reference number <end>,<start> अपराध की सदरभ सखया  <end>,4,5
<start> usually under a tree . <end>,"<start> हालाकि य सब जयादातर एक पड क नीच ही होता ह , <end>",4,11
<start> this is quite obvious . <end>,<start> यह सवाभाविक भी ह। <end>,4,4
<start> and itself becomes compassion <end>,<start> और वह सवदना म परिवरतित हो जाता ह <end>,4,8
<start> and of course <end>,<start> और वाकई  <end>,4,3
<start> sofomo news sankalak <end>,<start>   समाचार सकलक <end>,4,4
<start> he created aryan society . <end>,<start> इनहोन आरय समाज की सथापना की। <end>,4,6
<start> the problem then becomes <end>,<start> असली समसया य थी <end>,4,4
<start> plants and living creatures . <end>,<start> वनसपति और जीवजनत <end>,4,3
<start> we numb vulnerability <end>,<start> हम अतिसवदनशीलता को सनन कर दत ह  <end>,4,8
<start> however vithalbhai patel died . <end>,<start> मगर विठठल भाई पटल का निधन हो गया। <end>,4,8
<start> reporting back to them <end>,<start> उनह सचित करती <end>,4,3
"<start> east hill , <end>","<start> ऐअसट ःइलल  , <end>",4,4
<start> is about the future . <end>,<start> भविषय क बार म ह | <end>,4,6
"<start> a few weeks later , <end>","<start> कछ सपताह क बाद , <end>",4,4
<start> uninspiring and uncreative organizations <end>,<start> निराशाजनक और गररचनातमक सगठन <end>,4,4
"<start> undoubtedly , god is good . <end>",<start> बशक ईशवर सगण ह। <end>,4,4
"<start> but it s completely safe , <end>","<start> लकिन यह बिलकल सरकषित ह , <end>",4,5
<start> efficacy of counter terrorist measures . <end>,<start> क परभाविकता का आकलन करना बहत ही कठिन ह | <end>,4,10
<start> special educational needs tribunal <end>,<start> विशष शकषणिक जररतो परति नयायशाला  . <end>,4,6
"<start> after the chernobyl accident , <end>",<start> चरनोबिल दरघटना क बाद <end>,4,4
<start> a student missed . <end>,<start> एक बचच न  गलत जवाब दिय। <end>,4,7
<start> completely non invasive and silent . <end>,<start> बिलकल शात और गर भदी . <end>,4,5
<start> on which we stand . <end>,<start> परशनचिहन लगन लग ह . <end>,4,4
<start> a soft bristle toothbrush . <end>,<start> मलायम बालो वाला टथ बरश  . <end>,4,6
<start> how a small change <end>,"<start> कस एक छोटा बदलाब , <end>",4,4
<start> still remained so limited . <end>,<start> अब भी काफी सीमित ह . <end>,4,5
<start> his personalty is remarkable <end>,<start> विलकषण वयकतितव ह उनका। <end>,4,4
<start> . islaamabaadh raasdreeya rajdhaanee shaythra <end>,<start> इसलामाबाद राषटरीय राजधानी कषतर <end>,4,4
<start> regardless of the details . <end>,<start> बिना किसी जानकारी क <end>,4,4
<start> and so seven stars <end>,<start> और इसलिए सात सितारो <end>,4,4
<start> ca how much electricity ? <end>,<start> कर ए कितनी बिजली ? <end>,4,4
<start> evolution works that way . <end>,<start> करमिक विकास ऐस काम करता ह . <end>,4,6
<start> but to change perceptions . <end>,<start> वो तो सिरफ विचारधारा को बदल सकती ह . <end>,4,8
<start> feynman loved this story . <end>,<start> फयनमन को यह कहानी बहत पसद थी | <end>,4,8
<start> about using their voices . <end>,<start> अपनी आवाज उठान की | <end>,4,5
<start> the rise of islam <end>,<start> इसलाम का उदय <end>,4,3
<start> that inspired indian mathematicians <end>,<start> क जरिय भारतीय गणितजञो न <end>,4,5
<start> thoughts of swami vivekananda <end>,<start> सवामी विवकानद क विचार <end>,4,4
<start> past and future collecting <end>,<start> पिछला तथा भावी सगरह <end>,4,4
<start> and they become real . <end>,<start> और फिर व असली हो जात ह . <end>,4,7
<start> kabir literature short thinking . <end>,<start> कबीर साहितय  सकषिपत चितन <end>,4,6
<start> who s a travel writer . <end>,<start> जो एक यातरा लखक ह <end>,4,5
<start> social discourse in iran . <end>,"<start> और सामाजिक विमरश क लिय ,  ईरान म। <end>",4,7
<start> at jobs they hate <end>,<start> ऐसी नौकरी पर ह जो उनह पसद नही ह <end>,4,9
<start> sariyat and islamic jurisprudence . <end>,<start> शरियत और इसलामी नयायशासतर <end>,4,4
"<start> many times it s empty , <end>","<start> बहत बार यह कोरी होती ह , <end>",4,6
<start> it s not a cost <end>,<start>    .      . <end>,4,8
<start> we all have art . <end>,<start> हम सभी नाचत ह और हम सभी को कला का जञान ह। <end>,4,12
<start> who can t find food ? <end>,<start> जो भोजन पान म असमरथ ह ? <end>,4,6
<start> origin of the name <end>,<start> नाम का उदभव <end>,4,3
<start> so why not ? <end>,<start> तो असली जोडी कयो न हो  ? <end>,4,7
<start> uttara raja virat s daughter <end>,<start> उततरा  राजा विराट की पतरी। <end>,4,6
<start> yes it is . <end>,"<start> हा  ,  ह  . <end>",4,4
<start> then government released him <end>,<start> तब सरकार न उनह रिहा कर दिया। <end>,4,7
<start> series dharma grandh <end>,<start> शरणीधरमगरनथ <end>,4,1
<start> it becomes the cup . <end>,<start> वह कप बन जाता ह। <end>,4,5
<start> gl school leavers and students <end>,<start> घ   पाठशाला छोडन वाल और विदयारथी <end>,4,6
<start> loss of appetite <end>,<start>  <end>,4,1
<start> and maybe even understand . <end>,<start> और शायद समझ भी जाए . <end>,4,5
"<start> and a government minister , <end>",<start> और भारत सरकार म मतरी क नात <end>,4,7
<start> modern age <end>,<start> आधनिक काल <end>,4,6
<start> and when that happens <end>,<start> और जब ऐसा होता ह <end>,4,5
<start> effect on human health <end>,<start> मानव सवासथय पर परभाव <end>,4,4
<start> chalo delhi ! <end>,"<start> चलो  ,  दिलली  ! <end>",4,4
<start> remington based on kratidev fonts <end>,<start> रमिगटन  कतिदव फॉनट आधारित <end>,4,5
"<start> but stopped yourself , thinking <end>","<start> पर अपन आपको यह सोच कर रोक लिया होगा ,  कि <end>",4,10
<start> that s not too good . <end>,<start> और य तो अचछी बात नही ह। <end>,4,7
<start> and it kept growing . <end>,<start> और यह सब बढता ही गया। <end>,4,6
<start> we have a choice . <end>,<start> तो आपक पास विकलप होता ह। <end>,4,6
<start> second refueling in brazil <end>,<start>        . <end>,4,8
"<start> now , i started off <end>",<start> अब मन गभीर नोट <end>,4,4
<start> against the other side . <end>,<start> इसतमाल किया जा सकता ह . <end>,4,5
<start> lalkila of delhi photos <end>,<start> दिलली क लाल किल क चितर <end>,4,6
"<start> on april , , <end>","<start> अपरल   को , <end>",4,4
<start> . delay in formation . <end>,<start> .  निरधारित सखया म गठन नही हआ <end>,4,7
<start> by making it seamless . <end>,<start> इस निरतर बना कर | <end>,4,5
<start> they will not disappoint . <end>,<start> वो आपको निराश नही करग। <end>,4,5
<start> i m not going anywhere . <end>,<start> म कही नही जा रही ह . <end>,4,6
"<start> in higher soul like concerns , <end>","<start> रचि लत ह ,  अकसर <end>",4,4
<start> a king ? a god ? <end>,<start> एक राजा ?  एक दवता ? <end>,4,4
<start> what hindus call satchidananda . <end>,<start> जिस हिनद सचचिनद कहत ह . <end>,4,5
<start> but it s figuring out <end>,<start> बलकि वह अदाज लगता ह <end>,4,5
<start> by strengthening civil society . <end>,<start> की सभय समाज भी सबल बन | <end>,4,7
<start> best available control technology <end>,<start> सरवशरषठ उपलबध नियतरण परौदयोगिकी <end>,4,8
<start> with images and advertising . <end>,<start> तसवीर और विजञापन क बीच . <end>,4,5
<start> but i m no hero . <end>,<start> लकिन म कोई नायक नही ह | <end>,4,7
<start> some phones have touchscreens <end>,<start> कछ फोन म सपरशसकरीन शामिल ह . <end>,4,6
"<start> we had full page advertisements , <end>","<start> फलपज विजञापन थ , <end>",4,3
<start> you politely ignore it . <end>,<start> और आप उस विनमरता परवक टाल दत ह . <end>,4,8
<start> just how unintended consequences <end>,<start> कस अनपकषित परिणाम <end>,4,3
<start> check list for action <end>,<start> कारयवाही की चक लिसट <end>,4,8
<start> thank you so much . <end>,<start> बहत बहत धनयवाद। <end>,4,3
<start> dying is not scary . <end>,<start> मरना डरावना नही होता। <end>,4,4
<start> was asked to study <end>,<start> अधययन करन क लिए कहा गया <end>,4,6
<start> and everything is green . <end>,<start> और सब कछ हरा ह . <end>,4,5
<start> in sarawak and elsewhere . <end>,<start> जो सरवाक और अनय जगहो प हआ। <end>,4,7
<start> what is a calendar ? <end>,<start> कलनडर कया ह ? <end>,4,3
<start> solar photo voltage program <end>,<start> सौर फोटो वोलटायिक कारयकरम <end>,4,4
<start> cricket is very popular . <end>,<start> करिकट की लोकपरियता बहत ह । <end>,4,6
"<start> i love finding , wearing , <end>","<start> उनह खोजना ,  पहनना <end>",4,3
<start> you don t like it ? <end>,<start> आपको यह पसद नही ह ? <end>,4,5
<start> then art becomes useful . <end>,<start> तब कला काम म भी आती ह . <end>,4,7
<start> of virgins and paradise . <end>,<start> हरियो और सवरग वाला . <end>,4,4
<start> for our entire lives . <end>,<start> अपनी परी जिदगी . <end>,4,3
"<start> humanoid robot , human walking , <end>","<start> मानवीय रोबोट म ,  मानवो की तरह चलन म , <end>",4,8
<start> or power to punish . <end>,<start> या दणडित करन की शकति <end>,4,5
"<start> you see , that s empathy . <end>","<start> दखि य  ,  य ह सहानभति  . <end>",4,7
<start> kudrath ki sour uzra <end>,<start> कदरत की बजोड सौगात  सौर उरजा <end>,4,7
<start> and can be . . . <end>,<start> और इस स  .  .  . <end>,4,4
<start> undermine an objective morality ? <end>,<start> वसतगत और नियमबदध नतिकता को कयो कोई ठस नही पहचती ? <end>,4,10
"<start> by the international community , <end>","<start> अतरराषटरीय समदाय दवारा , <end>",4,3
<start> away from shelters <end>,<start> बसर स दर <end>,4,4
<start> to suppress smiling muscles . <end>,<start> मसकान दबान क लिए . <end>,4,4
"<start> perfect little a students , <end>","<start> उततम छातर बन कर , <end>",4,4
<start> establishment of forward block <end>,<start> फॉरवरड बलॉक की सथापना <end>,4,4
"<start> for not joining in , <end>","<start> वो इसम शामिल नही हए , <end>",4,5
"<start> taking tests is stressful , <end>","<start> परीकषा तनावपरण ह , <end>",4,3
"<start> it involves social scientists , <end>","<start> आवशयकता ह सामाजिक वजञानिको की , <end>",4,5
<start> of food for insects . <end>,<start> कीडो क खान का  . <end>,4,5
<start> we must disenthrall ourselves <end>,<start> हम खद को असीमित करना चाहिए <end>,4,6
<start> list of feed agree gators <end>,<start> फीड एगरीगटरस की सची <end>,4,4
<start> this is lake baikal . <end>,<start> यह बकाल झील ह । <end>,4,5
<start> she s got seven kids . <end>,<start> और उस क सात बचच ह। <end>,4,6
<start> so many different machines . <end>,<start> तरह की मशीन का उपयोग करत ह | <end>,4,8
<start> that s the simple thing . <end>,<start> य था साधारण काम। <end>,4,4
<start> going to the shops <end>,<start> दकान जात समय  . <end>,4,4
<start> who needs fluoride ? <end>,<start> फलयराइड की किस आवशयकता ह  ? <end>,4,6
<start> cluster bombs left behind . <end>,<start> छट हए कलसटर बम . <end>,4,4
<start> was intellectual pretense <end>,<start> बौदधिक दिखावा लगती थी . <end>,4,4
<start> thank you so much . <end>,<start> बहत बहत धनयवाद। <end>,4,3
<start> takhti unicode hindi translator <end>,<start> तखती  यनिकोड हिनदी समपादक <end>,4,5
<start> by to <end>,<start> सन      तक <end>,4,3
<start> i quit my job <end>,<start> मन अपनी नौकरी छोड दी <end>,4,5
<start> called the blicket detector . <end>,<start> जिस हम बलिकट डिटकटर कहत ह। <end>,4,6
"<start> the banking institution , lasted . <end>","<start> हमारा बक ,  उसक बाद भी जीवित रह सका। <end>",4,8
<start> and facebook and twitter . <end>,<start> और फसबक और टविटर। <end>,4,4
<start> of course you do . <end>,<start> जरर करत हो  . <end>,4,4
<start> rajasthan in ancient times <end>,<start> पराचीन काल म राजसथान <end>,4,4
<start> he screamed a lot . <end>,<start> वो बहत चिललाता था . <end>,4,4
<start> that s exactly what s happening <end>,<start> मगर बिलकल यही हो रहा ह <end>,4,6
"<start> cannot pass our exams , <end>","<start> वो हमार अगरजी की परीकषाओ को पास नही कर सकत ह , <end>",4,11
<start> sanskrit google forums on sanskrit <end>,<start> ससकतम  ससकत क बार म गगल चरचा समह <end>,4,9
<start> nature of indian constitution . <end>,<start> भारतीय सविधान की परकति <end>,4,4
<start> criticism by raj thackeray <end>,<start> राज ठाकर की आलोचना <end>,4,4
<start> jotha akbar <end>,<start> जोधा अकबर <end>,4,4
<start> have finally been accepted . <end>,<start> अत म सवीकार कर लिया गया ह . <end>,4,7
"<start> what underpinned this shame , <end>","<start> इस शरम का आधार कया ह , <end>",4,6
<start> water is energy intensive . <end>,<start> पानी ऊरजा का गहन परयोग ह . <end>,4,6
"<start> prompt , then , <end>","<start> शबद सझाए  ,  फिर <end>",4,4
"<start> of world conquerors before him , <end>","<start> उसस पहल आन वाल विशवविजयिओ क झडो स , <end>",4,8
"<start> so the question arises , <end>","<start> तो सवाल यह उठता ह , <end>",4,5
<start> joins this media landscape <end>,<start> मीडिया क इस परिदशय स जडता ह <end>,4,7
<start> because it was needed . <end>,<start> कयोकि यह आवशयक था। <end>,4,4
<start> kabir composed poetry fund <end>,<start> कबीर की रचनाए कविताकोश म <end>,4,5
