English,Hindi,len_eng_words,len_hin_words
and preserve my art,बना और सरकषित रख सकती ह,4,6
from a societal standpoint,सामाजिक दषटिकोण स काम कर रह ह,4,7
how sexy is that,यह कितना कामोततजक ह,4,5
thank you very much,धनयवाद।,4,1
oh may be not,शायद नही ह।,4,3
reading textbooks is stressful,पाठय पसतक पढना तनावपरण ह,4,5
early four works,परारमभिक चार अवसथाए,4,3
this is a flower,यह एक फल ह,4,4
he was a philosopher,nan,4,1
it is not learning,कि य सीखन की परकरिया नही ह।,4,7
closeness to hindu religion,हिद धरम स लगाव,4,4
but the main concern,लकिन मखय चिता,4,3
went to this village,एक गाव म पहच।,4,4
with my first child,मरा पहला बचचा हआ,4,4
but it is invisible,लकिन वह अदशय ह।,4,4
,,4,5
and national forests,और राषटरीय वनो म -,4,5
shariyat and islamic jurisprudence,शरियत और इसलामी नयायशासतर,4,4
they won t be ridiculed,वो खिलली उडाया जाना भी नही चाहग,4,7
won t you do better,तो तम बहतर करोग न ”,4,5
but ends differently,पर अत अलग होना चाहिए -,4,6
meaning of top courts,अभिलख नयायालय का अरथ,4,4
class  geography of bihar,शरणी:बिहार का भगोल,4,3
and to be balanced,और समनवयित होन क लिए,4,5
these are old hand farmers,य परान किसान ह,4,4
things that people think,चीज ह जो लोगो को लगता ह,4,7
list of worship poets,भकत कवियो की सची,4,4
structure of the council,परिषद का गठन,4,3
it s the surrounding community,आसपास का समाज,4,3
solar photo electric program,सौर फोटो वोलटायिक कारयकरम,4,4
israel s world terrorism desk,इजराइल वशविक आतकवाद डसक,4,4
that basically matches reality,जो सचचाई क साथ बिलकल सही बठता ह |,4,9
on a sunday night,उसस फोन पर 10:30 बज बात की,4,7
or where they were,या कही स भी हो,4,5
but the trouble is,किनत समसया यह कि,4,4
tajmahal s value and architecture,ताजमहल का मल एव वासतकला,4,5
they are the curator,वही असली सरकषक होत ह,4,5
what is septicaemia,सपटिसीमिया कया ह,4,4
instant currency of silver,ततकालीन चादी की मदरा,4,4
if you had been,अगर आप,4,2
with better child survival,बचचो क जीन की बहतर सभावना क साथ।,4,8
pota act,3 पोटा एकट 2002,4,3
category   bharath bharathi,शरणी:भारत भारती,4,2
crime reference number,अपराध की सदरभ सखया :,4,5
usually under a tree,हालाकि य सब जयादातर एक पड क नीच ही होता ह,4,11
this is quite obvious,यह सवाभाविक भी ह।,4,4
and itself becomes compassion,और वह सवदना म परिवरतित हो जाता ह,4,8
and of course,और वाकई -,4,3
sofomo   news sankalak,sofomo - समाचार सकलक,4,4
he created aryan society,इनहोन आरय समाज की सथापना की।,4,6
the problem then becomes,असली समसया य थी,4,4
plants and living creatures,वनसपति और जीव-जनत,4,3
we numb vulnerability,हम अतिसवदनशीलता को सनन कर दत ह -,4,8
however vithalbhai patel died,मगर विठठल भाई पटल का निधन हो गया।,4,8
reporting back to them,उनह सचित करती,4,3
east hill,45 ऐअसट ःइलल,4,4
is about the future,भविषय क बार म ह |,4,6
a few weeks later,कछ सपताह क बाद,4,4
uninspiring and uncreative organizations,निराशाजनक और गर-रचनातमक सगठन,4,4
undoubtedly god is good,बशक ईशवर सगण ह।,4,4
but it s completely safe,लकिन यह बिलकल सरकषित ह,4,5
efficacy of counter terrorist measures,क परभाविकता का आकलन करना बहत ही कठिन ह |,4,10
special educational needs tribunal,विशष शकषणिक जररतो परति नयायशाला,4,6
after the chernobyl accident,चरनोबिल दरघटना क बाद,4,4
a student missed,एक बचच न    गलत जवाब दिय।,4,7
completely non invasive and silent,बिलकल शात और गर भदी,4,5
on which we stand,परशनचिहन लगन लग ह,4,4
a soft bristle toothbrush,मलायम बालो वाला टथ बरश,4,6
how a small change,कस एक छोटा बदलाब,4,4
still remained so limited,अब भी काफी सीमित ह,4,5
his personalty is remarkable,विलकषण वयकतितव ह उनका।,4,4
islaamabaadh raasdreeya rajdhaanee shaythra,इसलामाबाद राषटरीय राजधानी कषतर,4,4
regardless of the details,बिना किसी जानकारी क,4,4
and so seven stars,और इसलिए सात सितारो,4,4
ca  how much electricity,कर ए: कितनी बिजली,4,4
evolution works that way,करमिक विकास ऐस काम करता ह,4,6
but to change perceptions,वो तो सिरफ विचारधारा को बदल सकती ह,4,8
feynman loved this story,फयनमन को यह कहानी बहत पसद थी |,4,8
about using their voices,अपनी आवाज उठान की |,4,5
the rise of islam,इसलाम का उदय,4,3
that inspired indian mathematicians,क जरिय भारतीय गणितजञो न,4,5
thoughts of swami vivekananda,सवामी विवकानद क विचार,4,4
past and future collecting,पिछला तथा भावी सगरह,4,4
and they become real,और फिर व असली हो जात ह,4,7
kabir literature  short thinking,कबीर साहितय : सकषिपत चितन,4,6
who s a travel writer,जो एक यातरा लखक ह,4,5
social discourse in iran,और सामाजिक विमरश क लिय ईरान म।,4,7
at jobs they hate,ऐसी नौकरी पर ह जो उनह पसद नही ह,4,9
sariyat and islamic jurisprudence,शरियत और इसलामी नयायशासतर,4,4
many times it s empty,बहत बार यह कोरी होती ह,4,6
it s not a cost,it's a profit the sign is wrong,4,8
we all have art,हम सभी नाचत ह और हम सभी को कला का जञान ह।,4,12
who can t find food,जो भोजन पान म असमरथ ह,4,6
origin of the name,नाम का उदभव,4,3
so why not,तो असली जोडी कयो न हो,4,7
uttara  raja virat s daughter,उततरा : राजा विराट की पतरी।,4,6
yes it is,हा ह,4,4
then government released him,तब सरकार न उनह रिहा कर दिया।,4,7
series   dharma grandh,शरणी:धरमगरनथ,4,1
it becomes the cup,वह कप बन जाता ह।,4,5
gl   school leavers and students,घl19 पाठशाला छोडन वाल और विदयारथी,4,6
loss of appetite,nan,4,1
and maybe even understand,और शायद समझ भी जाए,4,5
and a government minister,और भारत सरकार म मतरी क नात,4,7
modern age,आधनिक काल,4,6
and when that happens,और जब ऐसा होता ह,4,5
effect on human health,मानव सवासथय पर परभाव,4,4
chalo delhi,चलो दिलली,4,4
remington based on kratidev fonts,रमिगटन : कतिदव फॉनट आधारित,4,5
but stopped yourself thinking,पर अपन आपको यह सोच कर रोक लिया होगा कि,4,10
that s not too good,और य तो अचछी बात नही ह।,4,7
and it kept growing,और यह सब बढता ही गया।,4,6
we have a choice,तो आपक पास विकलप होता ह।,4,6
second refueling in brazil,he was in west indies in time,4,8
now i started off,अब मन गभीर नोट,4,4
against the other side,इसतमाल किया जा सकता ह,4,5
lalkila of delhi photos,दिलली क लाल किल क चितर,4,6
on april,अपरल         को,4,4
delay in formation,1 निरधारित सखया म गठन नही हआ,4,7
by making it seamless,इस निरतर बना कर |,4,5
they will not disappoint,वो आपको निराश नही करग।,4,5
i m not going anywhere,“म कही नही जा रही ह ”,4,6
in higher soul like concerns,रचि लत ह अकसर,4,4
a king a god,एक राजा एक दवता,4,4
what hindus call satchidananda,जिस हिनद सचचिनद कहत ह,4,5
but it s figuring out,बलकि वह अदाज लगता ह,4,5
by strengthening civil society,की सभय समाज भी सबल बन |,4,7
best available control technology,सरवशरषठ उपलबध नियतरण परौदयोगिकी,4,8
with images and advertising,तसवीर और विजञापन क बीच,4,5
but i m no hero,लकिन म कोई नायक नही ह |,4,7
some phones have touchscreens,कछ फोन म सपरशसकरीन शामिल ह,4,6
we had full page advertisements,फल-पज विजञापन थ,4,3
you politely ignore it,और आप उस विनमरता परवक टाल दत ह,4,8
just how unintended consequences,कस अनपकषित परिणाम,4,3
check list for action,कारयवाही की चक लिसट,4,8
thank you so much,बहत बहत धनयवाद।,4,3
dying is not scary,मरना डरावना नही होता।,4,4
was asked to study,अधययन करन क लिए कहा गया,4,6
and everything is green,और सब कछ हरा ह,4,5
in sarawak and elsewhere,जो सरवाक और अनय जगहो प हआ।,4,7
what is a calendar,कलनडर कया ह,4,3
solar photo voltage program,सौर फोटो वोलटायिक कारयकरम,4,4
cricket is very popular,करिकट की लोकपरियता बहत ह ।,4,6
i love finding wearing,उनह खोजना पहनना,4,3
you don t like it,आपको यह पसद नही ह,4,5
then art becomes useful,तब कला काम म भी आती ह,4,7
of virgins and paradise,हरियो और सवरग वाला,4,4
for our entire lives,अपनी परी जिदगी,4,3
humanoid robot human walking,मानवीय रोबोट म मानवो की तरह चलन म,4,8
or power to punish,या दणडित करन की शकति,4,5
you see that s empathy,दखि य य ह सहानभति,4,7
kudrath ki  sour uzra,कदरत की बजोड सौगात - सौर उरजा,4,7
and can be,और इस स,4,4
undermine an objective morality,वसतगत और नियमबदध नतिकता को कयो कोई ठस नही पहचती,4,10
by the international community,अतरराषटरीय समदाय दवारा,4,3
away from shelters,बसर स दर,4,4
to suppress smiling muscles,मसकान दबान क लिए,4,4
perfect little a students,उततम छातर बन कर,4,4
establishment of forward block,फॉरवरड बलॉक की सथापना,4,4
for not joining in,वो इसम शामिल नही हए,4,5
taking tests is stressful,परीकषा तनावपरण ह,4,3
it involves social scientists,आवशयकता ह सामाजिक वजञानिको की,4,5
of food for insects,कीडो क खान का,4,5
we must disenthrall ourselves,हम खद को असीमित करना चाहिए,4,6
list of feed agree gators,फीड एगरीगटरस की सची,4,4
this is lake baikal,यह बकाल झील ह ।,4,5
she s got seven kids,और उस क सात बचच ह।,4,6
so many different machines,तरह की मशीन का उपयोग करत ह |,4,8
that s the simple thing,य था साधारण काम।,4,4
going to the shops,दकान जात समय,4,4
who needs fluoride,फलयराइड की किस आवशयकता ह,4,6
cluster bombs left behind,छट हए कलसटर बम,4,4
was intellectual pretense,बौदधिक दिखावा लगती थी,4,4
thank you so much,बहत बहत धनयवाद।,4,3
takhti  unicode hindi translator,तखती : यनिकोड हिनदी समपादक,4,5
by      to,सन 2005 तक,4,3
i quit my job,मन अपनी नौकरी छोड दी,4,5
called the blicket detector,जिस हम बलिकट डिटकटर कहत ह।,4,6
the banking institution lasted,हमारा बक उसक बाद भी जीवित रह सका।,4,8
and facebook and twitter,और फसबक और टविटर।,4,4
of course you do,जरर करत हो,4,4
rajasthan in ancient times,पराचीन काल म राजसथान,4,4
he screamed a lot,वो बहत चिललाता था,4,4
that s exactly what s happening,मगर बिलकल यही हो रहा ह,4,6
cannot pass our exams,वो हमार अगरजी की परीकषाओ को पास नही कर सकत ह,4,11
sanskrit google forums on sanskrit,ससकतम - ससकत क बार म गगल चरचा समह,4,9
nature of indian constitution,भारतीय सविधान की परकति,4,4
criticism by raj thackeray,राज ठाकर की आलोचना,4,4
jotha akbar,जोधा अकबर,4,4
have finally been accepted,अत म सवीकार कर लिया गया ह,4,7
what underpinned this shame,इस शरम का आधार कया ह,4,6
water is energy intensive,पानी ऊरजा का गहन परयोग ह,4,6
prompt then,शबद सझाए फिर,4,4
of world conquerors before him,उसस पहल आन वाल विशव-विजयिओ क झडो स,4,8
so the question arises,तो सवाल यह उठता ह,4,5
joins this media landscape,मीडिया क इस परिदशय स जडता ह,4,7
because it was needed,कयोकि यह आवशयक था।,4,4
kabir composed poetry fund,कबीर की रचनाए कविताकोश म,4,5
okay i do too,ओक मर पास भी ह,4,5
revenges are also involved,परतिकरियाओ क विशिषट परकार म शामिल ह:,4,7
no one argues,कोई मतभद नही ह,4,4
quantum interference devices,कवाटम इटरफस यतर होत ह -,4,6
to actually start now,वासतव म अभी स शर हो,4,6
team play amongst themselves,समह खद क खिलाफ खलत ह |,4,7
it can transform society,यह पर समाज को बदल सकता ह |,4,8
and work and parent,और काम करन और बचचो को पालन क तरीक को भी।,4,11
mahadevi varma s children s literature,महादवी वरमा का बाल साहितय,4,5
and this attracts metals,और धात को आकरषित करत ह,4,6
consequently we have,फलसवरप हमार पास -,4,4
sk  yeah it s ready,सलमान खान: हा य तयार ह।,4,6
look at this also,यह भी दख,4,3
and when you re outdoors,और जब आप सडक पर हो,4,6
has listening and contemplation,सनना और चितन उनक,4,4
khaas mahal,खास महल,4,2
paintings of everyday objects,रोजमररा की वसतओ क चितर,4,5
now let s ask ourselves,अब सवय स पछ,4,4
first they ignore you,“पहली वो आपको अनसना कर दत ह,4,7
bleeding between menstrual cycle,मासिक धरम क बीच क समय म खन का आना,4,11
we re fighting another battle,हम एक और लडाई लड रह ह।,4,7
knowledge source,जञानपीठ,4,1
series cities in uttar pradesh,शरणी:उततर परदश क शहर,4,4
and we have found,और हमन यह पाया ह कि,4,6
self wedding of sita,सीता सवयवर,4,5
due to the stunting,छोटी उमर म,4,3
what is masturbation,हसतमथन कया ह,4,3
the challenge i have,मर सामन चनौती य ह,4,5
it had incredibly transformed,इस न अविशवसनीय ढग स बदल दिया,4,7
could play it anywhere,कही भी खल सकत थ,4,5
a voice warning him,उस एक आवाज चतावनी,4,4
that the indus script,सिध लिपि,4,2
you ve heard that saying,आपन कई बार य सना होगा,4,6
british govt releazed him,तब सरकार न उनह रिहा कर दिया।,4,7
with something that s unexpected,किसी अपरतयाशित,4,2
there s the spiritual side,एक आधयातमिक पछ ह |,4,5
thank you very much,बहत बहत धनयवाद,4,3
thank you very much,बहत बहत धनयवाद,4,3
since we were kids,जब स हम बचच थ |,4,6
that s just one source,यह कवल एक सतरोत ह |,4,6
group  the religious festival,शरणी:धारमिक तयौहार,4,2
this is so nerdy,य थोडी किताबी कीड जसी बात होगी,4,7
over and over again,बार-बार दिखाती ह,4,3
just be manic enough,बस इतन ही सनकी रह,4,5
anything that bothers you,कछ भी जो तमह परशान करता हो,4,7
oh it s so sad,ओह यह दखी ह |,4,5
was human capital,तो थी मानव-ससाधन की पजी -,4,6
used a new software,एक नय सॉफटवयर का इसतमाल,4,5
wouldn t that be handy,वह काम का नही होगा,4,5
with better models,अचछ नमनो स,4,3
and the human genius,और मानव महान जञाता हो गया ह,4,7
are the technical one,-  -     को सी एन एन की य टयब की रिपबलिकन बहस,4,12
in akbar s historical city,अकबर का इतिहास कसबा पर,4,5
wireless telephone,ताररहित टलीफोन,4,4
and this was,और य था सन,4,5
to be a contributor,उसक सहभागी या सहयोगी होन प,4,6
in fact country a,असल म दश अ,4,4
it s a mental process,यह दिमागी परकरिया ह,4,4
for    consecutive assignments,लगातार तरह बार ।,4,4
to measure brain activity,मसतिषक की गतिविधि मापन क लिए,4,6
get uploaded every minute,दो दिन क विडियो अपलोड किय जात ह,4,8
the mathematics of uncertainty,असभावितता की गणित का,4,4
i saw one day,मन एक दिन दखा,4,4
thank you very much,बहत बहत धनयवाद।,4,3
happening in our lives,अनभव नही किया ह,4,4
three degrees above freezing,शनय क ऊपर तीन डिगरी,4,5
and what we re learning,और जो हम सीख रह ह,4,6
adhiks vishist seva medal,नासा विशिषट सवा पदक,4,4
that was their answer,या था उनका जवाब |,4,5
the government  s approach,सरकार का रवयया |भाष,4,4
democracy and domestic terrorism,लोकततर और घरल आतकवाद,4,4
who can help,मदद कौन कर सकता ह,4,6
personal consideration and respect,खासगी विचाराधीन और आदर|भाष,4,4
have had brilliant leaders,ऎस बहत स परतिभाशाली नताओ को दखा ह,4,8
the problem in libya,लीबिया म समसया,4,3
if we continue decrypting,अगर हम दकरयपतिग जारी रखत ह,4,7
given the computer model,कपयटर मॉडल को दखत हए,4,5
women who were educated,औरत जो शिकषित ह,4,4
interconnected with the mysticism,रहसयवादी नदी,4,2
mighty india  gogle book,ved pratap vaidik),4,4
usgs earth magnetic program,usgs भ चमबकीय कारयकरम,4,4
on the one hand,एक ओर कारयालय म,4,4
you re facing censorship harassment,तो आपको तमाम ससरशिप और अतयाचारो को सहना होगा,4,10
and i say  empathy,और म कहता ह सहानभति,4,4
beginning,आदिकाल,4,5
category   hindi verses,शरणी:हिनदी गदयकार,4,2
of the middle east,मधय-परव क लिय।,4,3
the mission failed,मिशन नाकामयाब हआ,4,4
as the globe spins,जस गलोब घमता ह,4,4
at the earliest stage,आरभिक अवसथा म |,4,4
sariyat and muslim rulebook,शरियत और इसलामी नयायशासतर,4,4
nepal news dot com,नपालनयज डट कम,4,3
case in point einstein,मिसाल क तौर पर आइसटाइन।,4,5
which was in rajasthan s,जो राजसथान क,4,3
that sets the stage,मच बनाता ह,4,3
gitai   vinoba bhave,गीताई - विनोबा भाव,4,4
central state administrative links,कनदर राजय परशासनिक सबध,4,4
sant kabir nagar district,सत कबीर नगर जिला,4,4
for example economic growth,जस कि आरथिक विकास;,4,4
vishva hindi,विशवहिनदी,4,1
you can take cuttings,nan,4,1
bitches get beat daily,य सब साली रोज पिटती ह,4,6
of course in muslim,आप जानत ह कि,4,4
south west border province,उततर पशचिम सीमात परानत,4,4
he is absolute knowledge,वही परम जञान ह।,4,4
it s because the elevator,कयोकि एलवटर,4,2
that is unlikely,यह सभव नही ह,4,5
fourth stage march   th,चौथा चरण तीस मारच 1949,4,5
to a decent school,एक अचछ विदयालय म,4,4
and it s that basic,और यह उतनी बनियादी भर ह,4,6
and he said  leonardo,उनहोन कहा “लओनारदो,4,3
who are they,व सब कौन,4,4
manipuri,मणिपरी,4,1
so we re zooming in,हम फिर जम करत ह,4,5
this is important vedha,कल मिलाकर य ह :,4,5
remember it was illegal,याद रखना यह अवध रप स किया गया था,4,9
ah sorry about that,आह इसक लिए खद ह |,4,6
when we act together,जब हम एक साथ काम करत ह,4,7
facts related to ramayana,रामायण स समबधित तथय,4,4
this is for children,यह आकड बचचो क लिए ह|,4,6
puru was from yayati,ययाति स पर हए।,4,4
so back to homer,तो होमर क बार म फिर स |,4,8
if you re an algorithm,यदि आप एक एलगोरिथम ह,4,5
look at this situation,इस अवसथा को दखकर कहग,4,5
especially decisions of importance,खास तौर पर महतवपरण निरणय,4,5
billions of big ideas,ऎस करोडो बडी योजनाओ की,4,5
impact on hindu religion,हिनद धरम पर परभाव,4,4
and also create something,और ऐसा कछ बना सकती ह,4,6
in the food industry,ताकि यह पारपरिक फसलो,4,4
to do their bidding,अपना परजनन करवान क लिए,4,5
there was no language,ऐसी कोई भाषा नही थी,4,5
main allusion character of mahabharata,मखय उललख :महाभारत क पातर,4,5
pranitha shaheen and anjali,परणिता शाहीन और अजलि,4,4
but it s that contempt,पर यह वही तिरसकार ह,4,5
but this is transforming,मगर इसस परिवरतन हो रहा ह,4,6
for juice or essence,रस और सार क लिए |,4,6
missing and death news,लापता होना और मतय की खबर,4,6
also look at this,यह भी दख,4,3
i graduated from school,म कॉलज स निकल गया,4,5
it appeals to pity,it appeals to something called charity,4,7
struggle to get by,मामली चीजो कलिए सघरष कर रह ह,4,7
smiling with my sketches,अपन सकचो क साथ मसकरात हए,4,6
as you want it,जब मन म आय,4,4
energy points merit badges,जस एनरजी पवाइट मरिट बज।,4,5
and those two things,और इन दोनो चीजो,4,4
but this is ted,लकिन यह ted ह,4,4
ca  where what country,कर ए: कहा कौनसा दश,4,5
with no new information,कोई नयी सचना ना होन क बाद भी,4,8
that will feed hatred,जिनस हिसा को बढावा मिलता हो,4,6
more match the reality,और करीब लाया सचचाई क |,4,6
i did not start,मन सीध शर नही किया था,4,6
listen to somebody else,और सामन वाल की बात समझन म भी,4,8
not having detailed maps,विसतत नकश नही ह,4,4
international radio of china,चीन का अतरराषटरीय रडियो,4,4
well two years ago,दो साल पहल,4,3
getting help with costs,लागत क लिए मदद परापत करना,4,7
there is a struggle,य एक जोर-आजमाइश चल रही ह।,4,6
mahamayanagar district,महामयानगर जिला,4,4
who check for glasses,जो कि चशम क लिय पडताल करत ह,4,8
category  mangala prasad prize,शरणी:मगला परसाद परसकार,4,3
and wring their necks,उनकी गरदन मरोड द,4,5
small and large stories,टटी छटी कडिया,4,4
between these two extremes,इन दो अधिकतम सथानो क बीच,4,6
haripura is congress  presidency,हरीपरा कागरस का अधयकषपद,4,4
my property every time,मरी समपतति हर बार।,4,4
has happened over skype,सकाइप पर हआ ह,4,5
i can t forget auntie,म आटी को भल नही सका।,4,6
muslim population in world,दनिया म मसलिम जनसखया।,4,4
or of spiritual liberation,जसा यह बौदध परमपरा म ह,4,6
brahranmube nagrmahapalaika official website,बहनमबई नगरमहापालिका की आधिकारिक वबसाइट,4,5
its capital is washington,इसकी राजधानी वाशिगटन ह।,4,4
just because we can,कयोकि हम यह कर सकत ह,4,6
anyway,खर -,4,7
