English,Hindi,len_eng_words,len_hin_words
<start> solar gas heater project report <end>,<start> सौर वाय तापन परियोजना विशलषण <end>,5,5
"<start> and there s a volcano behind , <end>","<start> और पीछ एक जवालामखी ह , <end>",5,5
<start> we know that online criminals <end>,<start> हम जानत ह कि ऑनलाइन अपराधि <end>,5,6
"<start> and it converges with feelings , <end>","<start> और य हमार अहसासो स मिल जायग , <end>",5,7
<start> another patient is getting ready . <end>,<start> एक और रोगी तयार हो रहा ह । <end>,5,8
<start> china held a huge advantage <end>,<start> चीन क पास बहत बडा फायदा था <end>,5,7
<start> you re driven to do something <end>,<start> आप कछ करन क लिए पररित ह <end>,5,7
<start> the problem is the reverse . <end>,<start> समसया उलटी ह। <end>,5,3
<start> until these things are completed . <end>,<start> जब तक कि य इन चीजो को परा न कर ल। <end>,5,11
<start> i just took their pictures <end>,<start> म सिरफ उनकी तसवीर उतारता <end>,5,5
<start> that we change this thing <end>,<start> कि हम इसको बदल सकत ह <end>,5,6
<start> i m talking about the elite . <end>,<start> म कलीन लोगो की बात कर रहा ह <end>,5,8
<start> third step th april <end>,<start> तीसरा चरण    अपरल <end>,5,5
<start> category news paper from india <end>,<start> शरणीभारत क समाचार पतर <end>,5,4
<start> my students produced these info graphics <end>,<start> मर विदयारथियो न इन जानकारियो क चितरणो को बनाया <end>,5,9
<start> it s about conversation and faith . <end>,<start> यहा बातचीत और विशवास पर जयादा जोर ह । <end>,5,9
<start> this is reverend bayes s notebook . <end>,<start> य रवरड बयस की नोटबक ह। <end>,5,6
<start> bodhanath is nepal s largest stupa . <end>,<start> बोधनाथ नपाल का सबस बडा सतप ह। <end>,5,7
<start> ime of hindi writer <end>,<start> हिनदीराइटर का आईएमई <end>,5,5
"<start> when i was a kid , <end>","<start> जब म बचची थी , <end>",5,4
"<start> who runs his own website , <end>","<start> जो अपनी वबसाइट चलता ह  , <end>",5,6
<start> so what that effectively does <end>,<start> तो यह परभावी ढग स <end>,5,5
<start> when people watch magic tricks . <end>,<start> तब भी बिलकल ऐसा ही होता ह | <end>,5,8
<start> difficult objects have been created . <end>,<start> इसम अतयधिक जटिल जयामितीय परतिरप बनाए गए ह। <end>,5,8
<start> pride e hind subhash <end>,<start> नाजएहिनद सभाष <end>,5,2
<start> local cinema is also watched . <end>,<start> सथानीय सिनमा भी दखा जाता ह । <end>,5,7
<start> to just take a moment <end>,<start> कि एक कषण क लिए <end>,5,5
<start> and the video keeps playing . <end>,<start> और विडियो चलता रहता ह। <end>,5,5
<start> can you give me some ? <end>,<start> थोडा सा मझ भी दो ना ! <end>,5,6
<start> if i m violent with you <end>,<start> अगर म आप क परति हिसक ह <end>,5,7
"<start> when swine flu first appeared , <end>",<start> जब सवन फल पहली बार आया <end>,5,6
<start> indico ime <end>,<start> इणडिक आईएमई <end>,5,6
<start> and we did video clips . <end>,<start> हमन विडीयो कलिप भी बनाए . <end>,5,5
"<start> england invented overs cricket , <end>","<start> इगलड न  ओवर की करिकट की खोज की , <end>",5,9
<start> that summary is as follows <end>,<start> वह अभिलख निमनलिखित ह <end>,5,4
<start> from dashdwar to sopaan <end>,<start> दशदवार स सोपान तक <end>,5,5
<start> a year old love story <end>,<start>  साल परानी परमकथा <end>,5,4
<start> we decided to go there <end>,<start> मन वहा जान का निरणय लिया <end>,5,6
"<start> every politician in every country , <end>","<start> हर दश क राजनता , <end>",5,4
"<start> in motihari , again in champaran . <end>","<start> भी चमपारन ,  मोतिहारी क ही <end>",5,5
<start> remingtton based unicode typing tool <end>,<start> परखर दवनागरी लिपिक      शदध टकण हत एक नवीन हिनदी उपकरण <end>,5,12
<start> it is almost physiologically impossible <end>,<start> शारारिक दषटी स लगभग असभव ह कि <end>,5,7
<start> in places without museums . <end>,<start> ऐसी जगहो पर जहा   सगरहालय नही थ . <end>,5,8
"<start> that the real interesting science , <end>","<start> कि असली रोमाचक विजञान , <end>",5,4
<start> hanuman had reached to sita . <end>,<start> हनमान सीता क पास पहच। <end>,5,5
<start> we willingly enter fictional worlds <end>,<start> हम खशी स कलपना की दनिया म जात ह <end>,5,9
<start> my mother was an administrator . <end>,<start> मरी मा परशासक क पद पर थी . <end>,5,7
<start> and you d make these chairs . <end>,<start> और हम कछ करसिया बनात थी । <end>,5,7
<start> so that the telescopes have <end>,<start> जिसस दरबीनो को <end>,5,3
<start> after a good night s sleep . <end>,<start> अछ विशराम क बाद सबह जाग | <end>,5,7
<start> that implies the trusted person <end>,<start> अरथात भरोसमद वयकति <end>,5,3
<start> this is cosmology s final frontier . <end>,<start> यह बरहमाणड शासतर की अनतिम छोर ह। <end>,5,7
<start> change of power in delhi <end>,<start> दिलली की सतताबदल <end>,5,3
<start> fax <end>,<start> ञद  <end>,5,5
<start> practical food safety for businesses <end>,<start> वयापार क लिए ठीक खादय सरकषण <end>,5,6
<start> it s very rare among countries <end>,<start> ऐसा बिरला ही कोई दश होगा <end>,5,6
<start> one that can be used <end>,<start> जो उन लोगो क लिए ह <end>,5,6
"<start> with the average developing country , <end>","<start> औसत विकसित दश स कर , <end>",5,5
<start> but often there are obstructions <end>,<start> पर वहा हमशा कई बाधाए होती ह <end>,5,7
"<start> they ate their first hamburger , <end>","<start> पहला हमबरगर यहा खाया , <end>",5,4
"<start> these people are deceived , forced . <end>","<start> य लोग ठग हए ह ,  विवश ह . <end>",5,7
<start> what is the law ? <end>,<start> कानन कया ह  ? <end>,5,4
"<start> we had two opaque boxes , <end>",<start> हमार पास दो अपारदरशी बकस थ <end>,5,6
<start> it was an elite concept . <end>,<start> यह एक विशिषट अवधारणा थी . <end>,5,5
<start> the stationery office publications . <end>,<start> द सटशनरी अऑफिस क परकाशन यहा स मिलत हः  . <end>,5,10
"<start> politics , social and economic disparity . <end>",<start> राजनीती सामाजिक और आरथिक असमानता <end>,5,5
"<start> even if he had two , <end>","<start> चाह उसक पास दो एकड खत ही कयो न हो , <end>",5,10
<start> accept as human beings <end>,"<start> इसान क रप म सवीकार करन क लिए कह रही ह , <end>",5,11
<start> this is called push technology . <end>,<start> इस तकनीक को पल तकनलाजी कहा जाता ह। <end>,5,8
<start> she was no exception . <end>,<start> और ममता भी इस मामल म कोई अपवाद नही ह  . <end>,5,11
"<start> there in the middle east , <end>","<start> जो मधयपरव म ह , <end>",5,4
<start> is that not strange ? <end>,<start> कया यह अजीब बात नही ह  ? <end>,5,7
<start> what happened to sally ? <end>,<start> सली को कया हआ  ? <end>,5,5
<start> on how these robots work . <end>,<start> यह रोबोटस कस चलत ह| <end>,5,5
"<start> my maternal grandparents were educators , <end>","<start> मर नानानानी भी शिकषक थ , <end>",5,5
<start> i like to build stuff . <end>,<start> मझ चीज बनाना पसद ह | <end>,5,6
<start> start with simple words . <end>,<start> सरल शबदो स आरभ कर  . <end>,5,6
<start> it was hard to believe <end>,<start> यह विशवास करना कठिन था <end>,5,5
<start> or people were not frustrated . <end>,<start> या लोग निराश नही थ | <end>,5,6
<start> it was an educational campaign . <end>,<start> यह एक शकषिक अभियान था | <end>,5,6
<start> working of the election commission <end>,<start> निरवाचन आयोग की कारयपरणालीकारय <end>,5,4
"<start> and when i started teaching , <end>","<start> मर शिकषक बनन क बीच , <end>",5,5
<start> there were no private investors <end>,<start> तो पायग कि निजी निवशक <end>,5,5
"<start> so we exchanged business cards , <end>","<start> तो हमन वयापार कारड एक दसर को दिए , <end>",5,8
<start> its walls are finely chiseled . <end>,<start> इसकी दीवार काफी सचिककनता स तराशी गई ह। <end>,5,8
<start> hindi on to computer <end>,<start> हिनदी कमपयटि <end>,5,2
<start> people started to organize walks <end>,<start> उन लोगो न पदयातराए आयोजित करना शर कर दिया ह <end>,5,10
<start> bruhat mumbai nagarpalika s official website <end>,<start> बहनमबई नगरमहापालिका की आधिकारिक वबसाइट <end>,5,5
<start> up to percent less <end>,<start> सामानय बचचो स <end>,5,3
<start> allah will make it misleading <end>,<start> अललाह उस गमराह कर दगा। <end>,5,5
<start> why would we think this ? <end>,<start> हम ऐसा कयो सोचत ह  ? <end>,5,6
<start> there were strategic concerns . <end>,<start> रणनीतिक चिताए थी  . <end>,5,4
"<start> very little emphasis on ethics , <end>",<start> नीतिशासतर पर बहत कम जोर <end>,5,5
<start> finding out the a name . <end>,<start> नामोतपतति <end>,5,1
<start> and that s what we re doing . <end>,<start> और हम यही कर रह ह | <end>,5,7
"<start> they had their super powerful technique , <end>","<start> उनक पास उनकी सबस शकतिशाली तकनीक थी  , <end>",5,8
<start> entire country remembered his martyrdom . <end>,<start> सार दश न उनकी शहादत को याद किया। <end>,5,8
<start> they can become solar engineers . <end>,<start> वो सौरइजीनियर बन गयी। <end>,5,4
<start> going out for a picnic <end>,<start> सर सपाट पर बाहर जाना <end>,5,5
<start> we plate them into dishes <end>,<start> हम इनह बरतनो म रखत ह <end>,5,6
<start> set a good example . <end>,<start> आप क बचच क सामन एक अचछा आदरश परसथापित कर  . <end>,5,11
<start> a strategy for action . <end>,<start> कारय की रणनीति <end>,5,3
<start> how dare we be optimistic ? <end>,<start> हमन आशावादी होन की हिममत कस की ? <end>,5,7
<start> do people have grid cells ? <end>,<start> कया इसानो म गरिड कोशिकाए होती ह ? <end>,5,7
"<start> because they re moving real fast , <end>",<start> कयोकि वह तजी स बढ रह ह <end>,5,7
<start> and then look at business . <end>,<start> और धध क तरीक दखिय । <end>,5,6
"<start> cities are engines of creativity , <end>","<start> शहर रचनातमकता क इजन ह , <end>",5,5
<start> imagine this sign everywhere <end>,<start> सोचिय हर जगह ऐसा ही निशान लगा हो  <end>,5,9
<start>  <end>,<start>  <end>,5,6
<start> i gave them a computer <end>,<start> मन उनह एक कपयटर द दिया <end>,5,6
<start> not exactly all that enthusiastic <end>,<start> उतना कछ खास उतसाहित नही थ <end>,5,6
<start> just like that . very intuitive . <end>,"<start> बस ऐस ही ,  बहत सहज | <end>",5,6
<start> jaishankar prasad <end>,<start> जयशकर परसाद <end>,5,6
<start> on the day of diwali <end>,<start> दीपावली क दिन भारत म विभिनन सथानो पर मल लगत ह। <end>,5,11
<start> politicians have short memories . <end>,<start> राजनीतिजञो की समति बहत कमजोर होती ह  . <end>,5,8
<start> mining industry for singapore <end>,<start> खनन उदयोग ह सिगापर क लिए  <end>,5,7
<start> sixty four russian poems <end>,<start> चौसठ रसी कविताए <end>,5,4
<start> all for a communications framework <end>,<start> एक सचार ढाच क लिए <end>,5,5
<start> they took him for lunch . <end>,<start> बाहर भोजन क लिए | <end>,5,5
<start> samskritham google discussion group on sanskrit <end>,<start> ससकतम  ससकत क बार म गगल चरचा समह <end>,5,9
"<start> scientist , something or the other . <end>","<start> वजञानिक ,  या इनही म स कछ | <end>",5,7
<start> who contacted the coast guard <end>,<start> उसन कोसट गारड  को सचना दी <end>,5,7
<start> we associate repetition with boredom . <end>,<start> पर पनरावतति स हम बोरियत होती ह . <end>,5,7
<start> very interested in me whatsoever . <end>,<start> मझम जरा भी दिलचसपी नही थी . <end>,5,6
<start> and what they found was <end>,<start> और उनहोन य पाया कि <end>,5,5
<start> solar air heating project analysis <end>,<start> सौर वाय तापन परियोजना विशलषण <end>,5,5
"<start> and , of course , above all <end>","<start> और ,  जाहिर ह ,  सब स ऊपर <end>",5,6
<start> distinction between federation and confederation <end>,<start> फडरशन तथा कनफडरशन का भद <end>,5,5
<start> what s the opposite of terrorism ? <end>,<start> और आतकवाद का विपरीत कया ह ? <end>,5,6
<start> courtesy of the u . s . government . <end>,<start> अमरीकी सरकार क सौजनय स। <end>,5,5
<start> change arm chair position . <end>,<start> परिवरतन  हतथा करसी पोजीशन <end>,5,5
"<start> so an example might be , <end>","<start> तो एक उदहारण हो सकता ह , <end>",5,6
<start> place related films also seemed <end>,<start> सथानीय सिनमा भी दखा जाता ह । <end>,5,7
<start> when i arrived in l . a . <end>,<start> जब म  .  म आया <end>,5,5
<start> ram is an ideal son <end>,<start> राम एक आदरश पतर ह। <end>,5,5
<start> and learn about this relationship <end>,<start> और गरह और उनक पालक तारो क बीच <end>,5,8
<start> b e s t bus <end>,<start> बी ई एस टी बस <end>,5,5
<start> and what struck me was <end>,<start> और मझ इसन विसमित किया कि <end>,5,6
<start> it s a uniquely human achievement . <end>,<start> यह एक एक विशिषट मानव उपलबधि ह | <end>,5,8
<start> will get eaten or starve . <end>,<start> या तो शिकार बन जात ह या भख स मर जात ह| <end>,5,12
<start> morals english hindi dictionary knowledge <end>,<start> शील अगरजीहिनदी शबदकोष  जानकारी <end>,5,5
<start> something similar seems to happen <end>,<start> ऐसा ही कछ हो रहा ह <end>,5,6
<start> amar ujaala <end>,<start> अमर उजाला <end>,5,5
"<start> but exactly four years after , <end>","<start> पर ठीक चार साल बाद भी , <end>",5,6
<start> and high levels of corruption . <end>,<start> और जबरदसत भरषटाचार ह। <end>,5,4
<start> this is also a miracle <end>,<start> यह भी एक चमतकार ह। <end>,5,5
<start> you immediately think about africa . <end>,<start> आप तरत अफरीका क बार म सोचत ह। <end>,5,8
"<start> and that urgency , that purpose , <end>","<start> और य जलदबाजी ,  और कछ करन की ललक , <end>",5,8
<start> of a landed property family . <end>,<start> खानदानी जमीन थी <end>,5,3
<start> to know about uttar pradesh <end>,<start> उततर परदश क बार म जान <end>,5,6
<start> in the world after all . <end>,<start> दनिया म  . <end>,5,3
<start> the nepalese royal in <end>,<start>  की नपाली राजशाही <end>,5,4
<start> and the movie keeps playing . <end>,<start> और फिलम चलती रहती ह। <end>,5,5
<start> and she went to sweden . <end>,<start> और वो सवीडन गयी थी। <end>,5,5
"<start> but stone seals , copper tablets , <end>","<start> लकिन पतथर की मोहर ,  ताब की पटिया , <end>",5,7
"<start> and , at the same time , <end>",<start> और ठीक उसी समय <end>,5,4
"<start> luckily , the genetic testing proved <end>","<start> भागय स ,  आनवशिक टसट न साबित किया <end>",5,7
<start> when you explain change <end>,<start> जब आप किसी बदलाव का कारण खोजत ह  <end>,5,9
<start> the beauty is there throughout . <end>,<start> सदरता बनी रहती ह। <end>,5,4
<start> and finally . . . <end>,<start> और अत म  .   .  . <end>,5,5
"<start> he is complete , infinite , eternal , omniscient and omnipresent . <end>",<start> वो परण अननत सनातन सरवजञ सरवशकतिमान और सरववयापी ह। <end>,5,9
